Country Name,ISO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Males,Females,Latitude,Longitude,Basic water access,Basic sanitation,GDP (Millions),Continent Code,Continent Name
Croatia,HRV,15.9040,14.8258,13.7867,12.8082,11.9198,11.1413,10.4765,9.9062,9.4177,9.0018,8.6363,8.3106,8.0123,7.7290,7.4543,7.1818,6.9068,6.6243,6.3377,6.0528,5.7762,5.5135,5.2690,5.0433,4.8414,4.6645,4.5169,4.4002,4.3145,4.2491,4.1992,4.1613,4.1311,4.0977,4.0545,4.408,3.6832,45.1,15.2,100,96.56523542,55966.58178,EU,Europe
Cuba,CUB,14.0726,13.3699,12.7007,12.0552,11.4518,10.8875,10.3613,9.8669,9.3984,8.9606,8.5569,8.1767,7.8201,7.4875,7.1727,6.8841,6.6135,6.3558,6.1122,5.8887,5.6801,5.4841,5.2978,5.1226,4.9603,4.8120,4.6703,4.5435,4.4240,4.3092,4.2000,4.0994,4.0021,3.9070,3.8099,4.2215,3.3781,21.521757,-77.781167,97.00269616,91.35635221,103131,NA,North america
Cyprus,CYP,12.0648,11.0068,10.3392,10.0944,10.0371,9.9406,9.7462,9.4085,8.9323,8.3956,7.8850,7.4104,6.9472,6.4863,6.0578,5.6656,5.3171,4.9979,4.6963,4.4081,4.1235,3.8482,3.5875,3.3472,3.1274,2.9320,2.7549,2.6014,2.4624,2.3381,2.2202,2.1107,2.0091,1.9212,1.8396,1.9853,1.6879,35.126413,33.429859,100,100,23804.34038,EU,Europe
Czech Republic,CZE,12.2480,11.9173,11.5161,11.1150,10.7427,10.3449,9.8709,9.2982,8.6228,7.8738,7.1197,6.4141,5.7908,5.2674,4.8427,4.5146,4.2687,4.0749,3.8997,3.7201,3.5363,3.3513,3.1739,3.0074,2.8578,2.7308,2.6300,2.5587,2.5211,2.5125,2.5215,2.5361,2.5470,2.5466,2.5287,2.8195,2.2222,49.817492,15.472962,100,100,243530.3799,EU,Europe
North Korea,PRK,27.7000,27.4000,27.8000,28.9000,30.7000,33.4000,36.9000,41.1000,45.5000,49.8000,53.2000,55.1000,55.0000,53.1000,49.4000,44.5000,39.1000,34.2000,30.4000,27.8000,26.4000,26.0000,25.7000,25.2000,24.4000,23.1000,21.5000,19.8000,18.3000,17.0000,16.0000,15.1000,14.4000,13.7000,13.1000,14.4432,11.5789,40.339852,127.510093,93.84384303,84.66546354,28500,AS,Asia
Congo,COD,124.8411,123.6207,122.4786,121.4204,120.3659,119.2597,118.1977,117.1658,116.1712,115.2739,114.2599,113.1051,111.8182,110.3371,108.5941,106.6448,104.5357,102.3469,100.0813,97.7316,95.4735,93.0965,90.7680,88.5269,86.2730,84.0421,81.9005,79.7919,77.7272,75.7280,73.8059,71.7954,69.8442,67.8935,66.1081,71.9787,59.939,-4.038333,21.758664,73.78451158,20.45974611,49868.97064,AF,Africa
Denmark,DNK,7.9550,8.0118,8.0224,7.9347,7.7209,7.3821,6.9511,6.4871,6.0559,5.6876,5.3912,5.1609,4.9880,4.8698,4.7926,4.7320,4.6695,4.5860,4.4751,4.3324,4.1664,3.9930,3.8241,3.6723,3.5513,3.4733,3.4430,3.4467,3.4694,3.4912,3.4948,3.4709,3.4180,3.3377,3.2407,3.6741,2.7858,56.26392,9.501785,100,100,355184.0248,EU,Europe
Djibouti,DJI,102.5962,99.9838,97.6110,95.4355,93.4957,91.6651,90.1551,88.8089,87.7037,86.8165,85.9252,84.9735,83.9062,82.8092,81.4795,79.9757,78.3801,76.6690,74.8756,73.0831,71.2682,69.4613,67.6457,65.8771,64.1337,62.4099,60.7096,59.0089,57.4256,55.8802,54.2520,52.7189,51.2586,49.7953,48.4168,52.6276,43.9612,11.825138,42.590275,76.04992021,66.72263564,3384.40426,AF,Africa
Dominica,DMA,14.4499,14.0129,13.6437,13.3496,13.1134,12.9397,12.8222,12.7632,12.7529,12.7953,12.8848,13.0245,13.2114,13.4545,13.7486,14.0968,14.5040,14.9695,15.4999,16.0988,16.7628,17.4969,18.3078,19.2006,20.1723,21.2298,22.3552,23.5498,24.7872,26.0514,27.2741,28.4272,29.4466,30.3011,30.9365,33.2772,28.491,15.414999,-61.370976,95,80.366,469.8703704,NA,North america
Dominican Republic,DOM,54.4211,52.7622,51.1243,49.5246,47.9382,46.3445,44.7621,43.1729,41.6377,40.1228,38.6465,37.2713,36.0157,34.8473,33.8226,32.9260,32.1390,31.4644,30.8675,30.3375,29.8954,29.4915,29.1266,28.7781,28.4625,28.1506,27.8449,27.5205,27.0843,26.5894,25.9958,25.3884,24.7539,24.1206,23.4518,25.635,21.1511,18.735693,-70.162651,96.68681192,87.17818151,78844.70233,NA,North america
Ecuador,ECU,52.4492,50.0069,47.8185,45.7870,43.8604,41.9966,40.1793,38.3279,36.4323,34.5034,32.5764,30.6818,28.8744,27.1473,25.5708,24.1588,22.9370,21.8740,20.9301,20.1169,19.3381,18.5863,17.8412,17.1023,16.3716,15.6629,14.9956,14.3856,13.8284,13.3636,12.9931,12.6993,12.4764,12.2726,12.0379,13.4567,10.535,-1.831239,-78.183406,95.35976356,91.52492213,98808.01,SA,South america
